3 - Marica
4 - Ida
7 - Robin
0 - Sigrun
2 - Marcel
6 - Dennis
1 poäng | användarnamn: ida
1 poäng | användarnamn: Marica
3 poäng | Användarnamn: Marica
3 poäng | Användarnamn: Marica
3 poäng | Användarnamn: minna
6 poäng | Användarnamn: helen
3 poäng | Användarnamn: Marica
1 poäng | Användarnamn: Mats
1 poäng | Användarnamn: jlik
0 poäng | Användarnamn: sef<
0 poäng | Användarnamn: f<sef
0 poäng | Användarnamn: wre
0 poäng | Användarnamn: rwe
0 poäng | Användarnamn: s<ef
1 poäng | Användarnamn: <sef
0 poäng | Användarnamn: lkjoj
1 poäng | Användarnamn: ef<s
0 poäng | Användarnamn: daw
1 poäng | Användarnamn: f<s
